Timestamp,Cycle,Phase,Docs,Errors,Rate_Per_Sec,Phase_Secs,Cumulative_SO,Cumulative_PO,Cumulative_SO_Errors,Cumulative_PO_Errors,Cumulative_Total_Docs,Cumulative_Total_Lines,Elapsed_Min,BatchId
2026-03-28 09:27:42,1,SO,860,0,1.43,600,860,0,0,0,860,2580,10,LT-20260328-091741
2026-03-28 09:37:42,1,PO,987,0,1.64,600,860,987,0,0,1847,5541,20,LT-20260328-091741
2026-03-28 09:47:42,2,SO,860,0,1.43,600,1720,987,0,0,2707,8121,30,LT-20260328-091741
2026-03-28 09:57:42,2,PO,1029,0,1.72,600,1720,2016,0,0,3736,11208,40,LT-20260328-091741
2026-03-28 10:07:42,3,SO,839,0,1.4,600,2559,2016,0,0,4575,13725,50,LT-20260328-091741
2026-03-28 10:17:43,3,PO,998,0,1.66,600,2559,3014,0,0,5573,16719,60,LT-20260328-091741
2026-03-28 10:27:43,4,SO,821,0,1.37,600,3380,3014,0,0,6394,19182,70,LT-20260328-091741
2026-03-28 10:37:43,4,PO,1012,0,1.68,601,3380,4026,0,0,7406,22218,80,LT-20260328-091741
2026-03-28 10:47:44,5,SO,784,0,1.3,601,4164,4026,0,0,8190,24570,90,LT-20260328-091741
2026-03-28 10:57:44,5,PO,1031,0,1.72,600,4164,5057,0,0,9221,27663,100,LT-20260328-091741
2026-03-28 11:07:44,6,SO,776,0,1.29,600,4940,5057,0,0,9997,29991,110.1,LT-20260328-091741
2026-03-28 11:17:42,6,PO,1022,0,1.71,597,4940,6079,0,0,11019,33057,120,LT-20260328-091741
