Timestamp,Cycle,Phase,DocNo,Success,LineErrors,Duration_Ms,Elapsed_Sec,BatchId
2026-03-28 23:35:08.415,1,SO,108156,1,0,644,0.6,LT-20260328-233507
2026-03-28 23:35:08.782,1,SO,108157,1,0,365,1,LT-20260328-233507
2026-03-28 23:35:09.145,1,SO,108158,1,0,361,1.4,LT-20260328-233507
2026-03-28 23:35:09.494,1,SO,108159,1,0,347,1.7,LT-20260328-233507
2026-03-28 23:35:09.827,1,SO,108160,1,0,332,2.1,LT-20260328-233507
2026-03-28 23:35:10.179,1,SO,108161,1,0,351,2.4,LT-20260328-233507
2026-03-28 23:35:10.524,1,SO,108162,1,0,344,2.8,LT-20260328-233507
2026-03-28 23:35:10.863,1,SO,108163,1,0,336,3.1,LT-20260328-233507
2026-03-28 23:35:11.218,1,SO,108164,1,0,353,3.4,LT-20260328-233507
2026-03-28 23:35:11.568,1,SO,108165,1,0,348,3.8,LT-20260328-233507
2026-03-28 23:35:11.937,1,SO,108166,1,0,367,4.2,LT-20260328-233507
2026-03-28 23:35:12.293,1,SO,108167,1,0,355,4.5,LT-20260328-233507
2026-03-28 23:35:12.647,1,SO,108168,1,0,352,4.9,LT-20260328-233507
2026-03-28 23:35:12.995,1,SO,108169,1,0,346,5.2,LT-20260328-233507
2026-03-28 23:35:13.363,1,SO,108170,1,0,367,5.6,LT-20260328-233507
2026-03-28 23:35:13.697,1,SO,108171,1,0,333,5.9,LT-20260328-233507
2026-03-28 23:35:14.040,1,SO,108172,1,0,341,6.3,LT-20260328-233507
2026-03-28 23:35:14.380,1,SO,108173,1,0,339,6.6,LT-20260328-233507
2026-03-28 23:35:14.709,1,SO,108174,1,0,327,6.9,LT-20260328-233507
2026-03-28 23:35:15.040,1,SO,108175,1,0,329,7.3,LT-20260328-233507
2026-03-28 23:35:15.376,1,SO,108176,1,0,334,7.6,LT-20260328-233507
2026-03-28 23:35:15.725,1,SO,108177,1,0,347,8,LT-20260328-233507
2026-03-28 23:35:16.062,1,SO,108178,1,0,336,8.3,LT-20260328-233507
2026-03-28 23:35:16.413,1,SO,108179,1,0,347,8.6,LT-20260328-233507
2026-03-28 23:35:16.752,1,SO,108180,1,0,338,9,LT-20260328-233507
2026-03-28 23:35:17.085,1,SO,108181,1,0,332,9.3,LT-20260328-233507
2026-03-28 23:35:17.446,1,SO,108182,1,0,359,9.7,LT-20260328-233507
2026-03-28 23:35:17.833,1,SO,108183,1,0,386,10.1,LT-20260328-233507
